Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
يلا فوت منسهر عندي اليوم,ليش غيرت رأيك؟ مش على اساس نروح عالسينيما,يلا خش هنسهر عندي انهردة,ليه غيرت رأيك؟ مش على اساس نروح على السينيما
شو كيف كانت المدرسة اليوم؟,بشعة. كتير بكرهها,ايه اخبار المدرسة انهردة؟,وحشة. بكرهها جدا
رايح كزدر شوي بالسيارة,ما تتأخر وما تبعد,رايح اتمشي شوية بالعربية؟,ماتتأخرش و ماتبعدش
شو بدك تتعشى؟,ولا شي. ما في بنفسي شي,عايز تتعشى ايه؟,ولا حاجة. مانفسيش في حاجة
ليش مش جايب اكل معك من البيت اليوم,حبيت غير شوي,ليه مش جايب اكل معاك من البيت انهردة,حبيت اغير شوية
ايا اكتر رياضة مشهورة بالبلد؟,معظم الناس بتحب الفوتبول,ايه اكتر رباضة مشهورة في البلد؟,معظم الناس بتحب الكورة
شكرا على تعبك معي. ما لح انسالك ياها,ولو هيدا اقل واجب,شكرا على تعبك معايا. مش حنسهالك,عيب ده اقل واجب
ما بدك تنام؟,مش جاييني نوم,مش عايز تنام؟,مش جايلي نوم
جاي ودعك بتوصيني شي؟,يعني اخدت القرار النهائي. ايمتى مسافر,جي اودعك توصيني بحاجة؟,يعني اخدت القرار النهائي. مسافر امتى
الطقس بشع كتير اليوم,ايه الهوا كتير حامي,الجو انهردة وحش اوي,اه الهوا جامد جدا
شفت البرق شو قوي!,ايه! ضرب عامود الكهرباء,شفت البرق قوي اذاي!,اه! ضرب عامود الكهربا
وين رحت مشيت؟,هون بالضيعة,مشيت رحت فين؟,هنا في القرية
كان في عجقة عالطريق؟,لا ابدا ما في حدا,كان في زحمة في الطريق؟,لا خالص مفيش حد
انت من شو خيفان؟,من المستقبل المجهول,انت خايف من ايه؟,من المستقبل المجهول
عم فكر اشتري سيارة جديدة,ايه الي عندك صارت كتير قديمة,بفكر اشتري عربية جديدة,اه الي عندك بقت قديمة اوي
خلصت شغل؟,لا بعد عندي كم ورقة لازم اقراهن,خلصت شغل؟,لا لسة عندي كام ورقة لازم اقراهم
شو عندك بكرا؟,درس كل النهار,عندك ايه بكرا؟,مذاكرة كل يوم
سوق على مهلك,اكيد ما تعتل هم,سوق على مهلك,اكيد ماتشيلش هم
شو ربحتو او خسرتو الماتش مبارح؟,والله خسرنا و بقوة كمان,ايه كسبتوا ولا خسرتوا الماتش امبارح؟,ولله خسرنا و جامد كمان
كيف صارت امك؟ سمعت انو مريضة,"الحمدالله، احسن شوي بس بعدا تعبانة",ايه اخبار والدتك؟ سمعت انها تعبانة,"الحمدلله، احسن شوية بس لسة تعبانة"
اليوم عرفت انو انقبلت بالشغل اللي كنت مقدم علي,اووه أخيرا صار فينا نقلك مبروك,انهردة عرفت اني اتقبلت في الشغل الي كنت مقدم عليه,اووه اخيرا بقا ممكن نقلك مبروك
"والله كتير برد، ايمتى بدو يصحا الطقس بقا",المفروض العاصفة يومين و بتخلص,"والله برد جدا، امتى يحرر الجو بقا",المفروض العاصفة يومين و تخلص
"خلينا نروح عالسينما بكرا، صرلنا زمان","حبيبي اجلا شوي، نحنا آخر الشهر شو نسيت","خلينا نروح السينما بكرا، بقالنا كتير مرحناش","حبيبي اجلها شوية، احنا آخر الشهر نسيت ولا ايه"
شفت كيف صار يلعب مع رفقاتو,ايه حرام صرلو زمان ما شافن,شفت بقا يلعب اذاي مع صحابه,اه حرام بقالو كتير ماشفهمش
عم تدرس بالجامعة او عم تشتغل,صرلي شي ٣ سنين مبلش شغل,انت بتدرس في الجامعة ولا بتشتغل,بقالي حوالي ٣ سنين بادء شغل
ياريت ابني بيكبر و بيصير متلك,"نشاالله حبيبتي، بيكبر و بيطلع احسن مني",ياريت ابني يكبر و يبقى زيك,"انشاءالله حبيبتي، يكبر و يطلع احسن مني"
شو عندك مشاريع اليوم,"عم فكر روح زور الماما، زمان ما شفتا",عندك مشاريع ايه انهردة,"بفكر اروح ازور ماما، من زمان ماشفتهاش"
كيفك حبيبي شو اخبارك,ماشي الحال و انتا,عامل ايه يحبيبي ايه اخبارك,ماشي الحال وانته
"كانت طلتك اليوم بتجنن، الكل انبسط",مرسي حبيبتي و انا كنت مبسوطة,"كان منظرك انهردة تجنن، الكل اتبسط",شكرا حبيبتي وانا كنت مبسوطة
"تأخر الوقت شوي، يلا خلينا نفل","لسا بكير، بعدا السهر باولا","اتأخر الوقت شوية، يلا خلينا نمشي","لسا بدري، لسا السهرة في اولها"
بعدك عم تشوف نفس البنت,"لا زمان تركنا، ما زبط الموضوع",انت لسة بتشوف نفس البنت؟,"لا من زمان سبنا بعض، ما زبطش الموضوع"
"كيفو الحلو، زمان ما شفناك","والله كتير مشغول، بتعرف الدني و مشاغلا","عامل ايه الحلو، من زمان مشفنكش","والله مشغول جدا، عارف الدنيا و مشاغلها"
"في كتير اشيا عبالي اعملا، بس عم ضل مشغول","الواحد ما بيعرف ايمتا بيموت، ما تخلي شي بنفسك","في حاجات كتير على بالي اعملها، بس بفضل مشغول","الواحد مش عارف امتى حيموت، متخليش حاجة في نفسك"
"شو عم تقرا هالايام، خلصت القصة اللي عطيتك هيي","لا والله لسا، عم بقراها على مهلي","بتقرا ايه اللايام ديه، خلصت القصة الي اديتهالك","لا ولله لسا، بقرا على مهلي"
هيدا تلفونك او تلفون الشغل,"تلفون الشغل، مهم ايه؟",ده تلفونك ولا تلفون الشغل,"تلفون الشغل، مهم صح؟"
بكرا عيد ميلادي و بدي اعمل حفلة,"حلو، شو مخطط تعمل، عشو ناوي",بكرا عيد ميلادي و عايز اعمل حفلة,"حلو، مخطط تعمل ايه، ناوي على ايه"
"ما تعتل هم، المرة الجاية بتزبط معك","عنجد انو لقيتا كتير صعبة، ما كانت تزبط معي","ماتشلش هم، المرة الجاية حتزبط معاك","بجد لقيتها صعبة جدا، مكانتش تزبط معايا"
"هلق وصلت عالبيت، عرفت انو بيك كاسر اجرو؟","اوف لا والله، كيف صارت","دلوقتي وصلت على البيت، عرفت ان ابوك كسر رجله؟","اوف لا ولله، عامل ايه دلوقتي"
ايمتى ناوي تدفع الفواتير المكسورة عليك,"بركي اول الشهر الجاي ، بتعرف وضع البلد",امتى ناوي تدفع فواتير المكسورة عليك,"يمكن اول الشهر الجي، تعرف وضع البلد"
"مرحبا، كيفنا اليوم؟","ماشي الحال، رواق","السلام عليكم، عامل ايه انهردة؟","ماشي الحال، رايقة الدنيا"
"اهلا و سهلا، كيف بقدر ساعدك",بدي اشتري غسالة بس تكون مستعملة,"اهلا و سهلا، اقدر اساعدك اذاي",عايز اشتري غسالة بس تكون مستعملة
عرس رفيقتي بعد كم يوم و لسا ما جبت فستان,اوف ليس هيا عاملة بحالك,فرح صحبتي بعد كام يوم و لسا ماجبتش فستان,اوف ليه عاملة كدة في نفسها
معش تعيديها و تشتري من نفس المحل,"خلص اخر مرة بجيب غراض منو، شي بجرص",متعيدهاش تاني و تشتري من نفس المحل,"خلاص اخر مرة اجيب حاجات من عنده، حاجة تفضح"
"استعجلك شوي، اذا هيك بتضل منتاخر","كل شوي بدك تقلي هيك، شو بعمل بطير يعني","استعجلك شوية، لو فضلت كدة حنتأخر","كل شوية تقلي كدة، اعمل ايه اطير يعني"
انتبه تدعس عالزلمي الي ماشي بنص الطريق,ايه شافو والله ما تخاف,خالي بالك لتدوس الراجل الي ماشي في نص الطريق,اه شايفه والله ماتخفش
"مبين عليك تعبان شوي، شو صاير معك شي",ما بعرف صرلي من مبارح مكركب,"باين عليك تعبان شوية، ايه حاصل معاك حاجة",ماعرفش من امبارح و انا مش مظبوط
ايمت بدك تمرق فرجيك عالصوبيا اللي جبتا جديد,ايمتى ما بناسبك انا كل يوم فاضي ما عندي شي,امتى حتعدي اوريك الدفاية الجديدة الي جبتها,امتى ما يناسبك انا كل يوم فاضي معنديش حاجة
"بنت رفيقتي طالعة كتير حلوة، عيونا خضر و شعرا اسود",ايوا سماالله عليها اكيد بدا تطلع حلوة لاما,"بنت صحبتي طلعت جميلة جدا، عيونها خضرا و شعرها اسود",ايوا اسم الله عليها اكيد حتطلع حلوة لامها
ستك و جدك بعدن عايشين,"تيتا ايه، بس جدي عطاك عمرو زمان",ستك و جدك لسة عايشين,"تيتة اه، بس جدي ادانا عمره من زمان"
"هالايام كيف عم تركض ركض، مبارح كنا صغار و عم نلعب",ايه والله العمر غفلة,"الايام ديه بتجري جري، امبارح كنا صغيرين و بنلعب",اه والله العمر غفلة
نسيت انو تسجيل المواد اليوم و سكرو الصفوف اللي بدي آخدا,"شو هالحظ اللي عليك، لو عارف كنت ذكرتك",نسيت ان تسجيل المواد انهردة و قفلوا الفصول الي عايز اخدها!,"ايه الحظ اللي عليك ده، لو عارف كنت فكرتك"
"شكرا كتير عالمساعدة اليوم، قدرنا نخلص بكير بفضلك",لا ولا يهمك واجبنا,"شكرا جزيلا عالمساعدة انهردة، قدرنا نخلص بدري بفضلك",لا ولا يهمك واجبنا
كيفنا اليوم ؟,بعد حدا عم يسال هيك سؤال,عامل ايه انهردا؟,لسة في حد بيسال سؤال ذي ده
اجا قبول السفر واسبوع الجاي انشالله طيارتي,الله يوفقك وتوصل بالسلامة,جه قبول السفر والاسبوع الجي انشالله طيارتي,الله يوفقك و توصل بالسلامة
شكلا المدارس رح ترجع تفتح,لكان لازم صير نام بكير,شكلها المدارس حترجع تفتح,يبقى لازم انام بدري
شو صار معك عند الحكيم شو قلك كرمال اجرك,قلي لازم امشي كل يوم ساعة عل الاقل,ايه الي حاصل معاك عند الدكتور قلك ايه على رجلك,قلي لازم امشي كل يوم ساعة على الأقل
كيف الشغل انشالله مش تعبان,لا الحمدالله مهم نضل عم نشتغل,ايه اخبار الشغل انشالله مش تعبان,لا الحمدلله المهم نفضل نشتغل
شو عم تعمل هالايام؟,والله ما عم لحّق ع شي كلو ضغط بضغط!!,بتعمل ايه الايام ديه؟,والله مش ملاحق على حاجة كله ضغط في ضغط!!
عم يقولوا نجح اللقاح,و أخيرا رح تخلص هالأزمة قريبا,بيقولوا اللقاح نجح,وأخيرا حتخلص الأزمة قريبا
ما عم شم و دوق لي قولك؟,لا مش كورونا اكيد حساسية,مش بشم و ادوق تفتكر ليه؟,لا مش كورونا اكيد حساسية
ما قبلوني بالجامعة,"يلا بسيطة، بتقدّم عجامعة غيرها",ماقبلونيش في الجامعة,"يلا بسيطة، تقدم على جامعة غيرها"
"كتير عم بتوتر هالايام، ما بعرف شو صايرلي","لي خير شو صاير، بركي لازم تروح عند الدكتور","بتوتر كتير اليومين دول، مش عارف ايه الي حاصلي","ليه خير ايه الي حاصل، يمكن لازم نروح عند الدكتور"
الحمدالله انو عايشين بالمدينة,"مزبوط الا حسناتا، بس الجبل احلى",الحمدلله انه عايشين في المدينة,"مزبوط ليها حسناتها، بس الجبل احلى"
بتعرف انو التدخين بضر بصحتك,"اكيد بعرف، بس ما قادر وقفو",تعرف ان التدخين بيضر بصحتك,"اكيد اعرف، بس مش قادر اوقف"
"مرحبا، شو كيف لقيت الفيلم",كتير بايخ و ما بينحضر,"السلام عليكم، ايه اخبار الفيلم",بايخ جدا وميتشفش
اليوم شفنا فيل كبير بالسيرك,يالله عال المهم يكونو انبسطو الولاد,انهردة شفنا فيل كبير في السيرك,بالله عليك المهم يكونوا انبسطوا الولاد
فاضي شوي نشرب قهوة سوا,اكيد و اذا مش فاضي بفضي حالي كرمالك,فاضي شوية نشرب قهوة مع بعض,اكيد ولو مش فاضي افضي نفسي ليك
"الفيلم شوي و ببلش، كم ساعة هوي على علمك","مش اكيد صراحة، بس مفروض ساعتين","الفيلم شوية و يبدا، كم ساعة هو لو تعرف","مش متاكد الصراحة، بس المفروض ساعتين"
شو عاصمة لبنان,بيروت هي العاصمة السياسية للجمهورية اللبنانية وأكبر مدنها,ايه عاصمة لبنان,بيروت هي العاصمة السياسية للجمهورية اللبنانية وأكبر مدنها
ادي الدولار اليوم,"الدولار صلر بالسما، قد ما بدك",كام الدولار انهردة,"الدولار بقا في السما، زي مانت عايز"
شو طابخين اليوم؟,"والله عاملين كبة بالصينية، اتفضل",طابخين ايه انهردة؟,"ولله عاملين كبة في الصنية، اتفضل"
عم تدرس بهل ايام ؟,اكيد كل يوم عالاونلاين,بتذاكر اليومين دول؟,اكيد كل يوم اونلاين
"شو رأيك بموضوع لقاح كورونا، ح تاخدو؟",إنو أكيد منا نخلص بقى من هالقصة والله تعبنا.,"ايه رأيك في موضوع لقاح كورونا، حتاخده؟",اكيد عايزين نخلص من القصة ديه بقا والله تعبنا.
ليوم جبت كيلو عدس مدعوم,"ايه خيي، من وين جبتو",انهردة جبت كيلو عدس مدعوم,"اه يا اخويا، جيبته منين"
وين صرت؟,يلا صرت واصل,وصلت فين؟,يلا خلاص حوصل
حاسة حالي عم ضل نعسانة وكسلانة,اشربي مي اكتر وخدي فيتامينات,حاسس نفسي بفضل كسلان و نيمان,اشربي مياه و خدي فيتامينات
قدي الدولار اليوم,اوووووه بالسما,كام الدولار انهردة,اوووووه في السما
ما عم صدق عرسي بعد شهر!,ييي ألف مبروك تتهنو,مش مصدق فرحي بعد شهر!,يااه ألف مبروك تتهنوا
عبالي آكل سوشي,يلا بدك نضهر بكرا؟,جي علي نفسي اكل سوشي,يلا عايز نخرج بكرا؟
كيفك و كيف كل شي؟,الحمدالله ماشي الحال,ايه اخبارك و اخبار كل حاجة؟,الحمدالله ماشي الحال
قديش بعد في للغدا,"صار طالع، شي ١٠ دقايق بس",فاضل قد ايه للغدا,"خلاص حيطلع، حوالي ١٠ دقايق بس"
كيف الشغل انشالله مش تعبان,لا الحمدالله مهم نضل عم نشتغل,ايه اخبار الشغل انشالله مش تعبان,لا الحمدلله المهم نفضل بنشتغل
ايمتى بيخلص هالحجر؟,"بعد في أسبوع، شفلك شي تعملو بهالوقت",امتى يخلص الحجر ده؟,"لسة في اسبوع، شفلك حاجة تعملها في الوقت ده"
كم سمستر ل تتخرج بعد,سمستر واحد و بدي كفي ماستر,كام سمستر فاضل عشان تتخرج,سمستر واحد و عايز اكمل ماجيستير
شو دارسة اختصاص,اخصائية تغذية,دارسه اختصاص ايه,اخصائية تغذية
عم تراكم عليك دروس,طبعًا,بتتراكم عليك دروس,طبعًا
شو تخطيطاتك لبكرة,بهل بيت,تخطيطاتك ايه لبكرا,في البيت
عم يوجعني راسي كتير. شو فيني ساوي,"خدلك حبة بانادول، اذا ما في فوت نام شوي",راسي بيوجعني جامد. ممكن اعمل ايه,"خدلك حباية بانادول،لو مظبتش خش نام شوية"
دخلك اي ساعة ببلش منع التجول,"حسب آخر تعميم، ببلش الساعة ٨",لو سمحت انهي ساعة يبدا منع التجول,"حسب آخر قرار، يبدا الساعة ٨"
كيف حال الدرس ؟,ماشي الحال,ايه اخبار المذاكرة ؟,ماشي الحال
جاي بكرا ؟,لا عندي دراسة,جي بكرا ؟,لا عندي مذاكرة
بتصدق الكورونا ؟,اي اكيد ليش تما صدق ؟,تصدق الكورونا ؟,اه اكيد ليه مصدقش ؟
شو اكثر رياضة بتحبها ؟,بحب اسبح اكثر شي,ايه اكتر رياضة بتحتها ؟,بحب اعوم اكتر حاجة
فاضي شوية نشرب قهوة,ايه بعد شي ساعة منلتقي,فاضي شوية نشرب قهوة,اه بعد حوالي ساعة نتقابل
ليه هلقد تعبان يا زلمة,لأني لبناني برو,ليه تعبان للدرجة ديه يا راجل,لأني لبناني يا برو
بتقدر تعلمني كيف أكتب برامج للأندرويد ؟,اي أكيد و حتحبا كتير,تقدر تعلمني أكتب برامج للأندرويد اذاي ؟,اه اكيد و حتحبها جدا
كتير جاي على بالي سافر بس أيمتى بدو يخلص هالكورونا,ان شاء الله مع الطعوم بتنحل الأزمة و بيخلص كورونا قريبا,جي على بالي اسافر بس امتى يخلص كورونا,ان شاء الله مع التطعيم تنحل الأزمة و يخلص كورونا قريبا
"كتير جوعانة، اقترح شي اكله","فيك تاكل شي خفيف، شو رأيك بالبسكوت مع موز.","جعانة جدا، اقترح حاجة اكلها","ممكن تاكل حاجة خفيفة، ايه رأيك في البسكوت مع الموز."
ايمتن بدنا نخلص من كورونا ؟,الله اعلم بس شكلنا مطولين,امتى نخلص من الكورونا ؟,الله اعلم بس شكلنا مطولين
قررت سافر على إيطاليا لكفي تعليمي,"بالتوفيق، الحياة هونيك الها غير نكهة",قررت اسافر على إيطاليا عشان اكمل تعليمي,"بالتوفيق، الحياة هناك ليها طعم تاني"
كيفك؟,منيح كيفك أنت ؟,ايه اخبارك؟,كويس انت عامل ايه ؟
اليوم عرفت انه انقبلت بالشغل ل قدمت عليه,مبرووك حبيبي كتير انبسطلك,انهردة عرفت اني اتقبلت في الشغل الي مقدم عليه,مبرووك حبيبي اتبسطلك جدا
مبارح كان ماشي الروبوت وفجاه اتعطل,عادي بكل مسابقة هيك بصير,امبارح كان ماشي الروبوت و فجاه عطل,عادي في مل مسابقة بيحصل كدة
"مرحبا، ايمتا بتسكر المكتبة",مكتبتنا بتبقى فاتحة بالليل,"السلام عليكم، امتى تقفل المكتبة",مكتبتنا بتبقى فاتحة بليل
"المسرحية كتير حلوة، حتى انو بكيت بالاخر","وانا عجبتني، صرلي زمان ما حضرت شي حلو","المسرحية حلوة جدا، حتى انها عيطت في الاخر","وانا عجبتني، بقالي كتير ماشفتش حاجة حلوة"
مبارح حسيت انو في حدا عم يلحقنا,بلا هالافكار هلق انا ما حسيت بشي,امبارح حسيت انو في حد بيلاحقنا,بلاش الافكار ديه دلوقتي انا محستش بحاجة
يا هلا حبيبي زمان ما شفناك,والله كنت مسافر اليوم جيت,يا اهلا حبيبي من زمان مشفنكش,والله كنت مسافر انهردة جيت
مرحبا غسالتي خربت و ضروري تتصلح اليوم,"انا مش اختصاصي تصليح غسالات، بس رح اعطيك رقم حدا شاطر",السلام عليكم غسالتي باظت و ضروري تتصلح انهردة,"انا مش من اختصاصي تصليح غسالات، بس حديك رقم حد شاطر"
كانت العطلة بتجنن ما معقول شو نبسطنا,"ياريت كل أيامنا تكون هيك، بس يالله هيدي الدني",كانت الاجازة تجنن مش معقول قد ايه اتبسطنا,"ياريت كل أيامنا تكون كدة، بس يالله ديه الدنيا"
شو ما بدك تسبح,شو نسيت انو ما بعرف كيف,ايه مش عايز تعوم,ايه نسيت اني معرفش اذاي اعوم
معقول تفكر حتى انو انا كون سارقة تلفونك,"بعتذر حقك عليي، بس هيك حسيت",معقول تفكر حتى انه انا اكون سارقة تلفونك,"اعتذر حقك عليا، بس حسيت كدة"
هيدا اول يوم الي بالشغل و كتير متلبكة,ما تخافي كلو بيصسر سهل مع الوقت,ده اول يوم في الشغل و خايفة جدا,ماتخفيش كلو بيبقى اسهل مع الوقت
في شي حلو عالتلفزيون,صرلي ساعة بقلب ما لقيت شي بينحضر,في حاجة حلوة عالتلفزيون,بقالي ساعة بقلب مالقتش حاجة تتشاف
"كول قد ما بدك، ما تستحي","يسلمو، خجلتوني بكرمكن","كل زي مانت عايز، ماتكسفش","تسلم، كسفتوني بكرمكم"
كتير شفقانة عالكلب اللي مات,خلص عمرو حبيبي,زعلانة جدا عالكلب اللي مات,خلص عمره حبيبتي
"اخدت موعد عند الدكتور هالسبت، تجي معي",اكيد ما عندي شي أصلا اهم منك,"اخدت معاد عند الدكتور السبت ده، تيجي معانا",اكيد ماعنديش حاجة أصلا اهم منك
عم بدرس هندسة,هههه كانك رح تلاقي شغل,انا بدرس هندسة,هههه كانك حتلاقي شغل
عاملين مجدرة اليوم,اوووف كل يوم مجدرة!,عاملين مجدرة انهردة,اووف كل يوم مجدرة!
اوووه شو وين هالغيبة؟,والله الحمدالله عايشين,اوووه ايه الغيبة دي كلها؟,والله الحمدلله عايشين
ليش ما خبرتيني من الاول ؟,هيك لان ما بوثق فيك,ليه ماقلتليش من الاول ؟,كدة عشان مبثقش فيك
ان شاء الله الاسبوع الجاي بشوفك.,"ان شاء الله ؟ شو ان شاء الله، يعني مش رح شوفك.",انشاء الله الاسبوع الجاي اشوفك.,"ان شاء الله ؟ ليه ان شاءالله، يهني مش حشوفك."
راسي واجعني كتير اليوم!,"بعتقد معي پانادول، خدلك حبة بتنفع",راسي واجعني جدا انهردة!,"اعتقد معايا بانادول، خدلك حباية بتنفع"
شو عامل عا هل حجر ؟,والله تقريبن صرت اعرف احكي تركي,عامل ايه في الحجر ده ؟,والله تقريبا بقيت اعرف اتكلم تركي
بلشت رواية جديدة اليوم,يلا بتخدلا يومين معك,بدأت رواية جديدة انهردة,يلا بتاخدلها يومين معاك
كيف فيني انجح ؟,دروس كتير,انجح اذاي ؟,ذاكر كتير
أيمتا يمكن تخلص جائحة كورونا؟,شكلو أنا حإخلص وهيي لا,أمتى تخلص جائحة كورونا؟,شكلي أنا هخلص وهيا لا
شو ابرز حدث صار اليوم,تخطى سعر صرف الدولار عتبة ال١١ الف ليرة لبنانية,ايه ابرز حدث حصل انهردة,تخطى سعر صرف الدولار عتبة ال١١ الف ليرة لبنانية
لوين بدي اضهر اليوم,خليك بالبيت كرمال كورونا,اخرج فين انهردة,خليك في البيت عشان كورونا
آخ راسي عم يوجعني,معي حبتين بنادول بدك؟,آخ راسي بيوجعني,معايا حبيتين بانادول تاخد ؟
اليوم شفت حبيبة قلبك,يييي الله يعينك!,انهردة شفت حبيبة قلبك,يااااه الله يعينك!
ما عارفة شو اطبخ اليوم,طبخي ايا شي بس مش مجدرة,مش عارفة اطبخ ايه انهردة,اطبخي اي حاجة بس بلاش مجدرة
ما عارفة كيف نزل وزني كتير متضايقة,امشي نروح على الجيم و ناكل صحي,مش عارفة انزل وزني اذاي متضايقة جدا,يلا نروح على الجيم و ناكل صحي
شو صار معكي مبارح ما رجعتي اتصلتي؟,والله انقطع الإنترنت و ما معي ٣جي,ايه الي حاصل معاك امبارح مارجعتيش اتصلتي؟,والله قطع الإنترنت و ماعيش ٣جي
يا الله اشتقت للصيف,يلا ما با بقيلو الا شهرين,ياالله وحشني الصيف,يلا ما فضلوش الا شهرين
ما بحب المجدرة,بطلبلك ديليفري؟,مابحبش المجدرة,اطلبلك دليفيري ؟
عبالي دونتس!,انا بعملك اطيب دونتس!,جي على نفسي دونتس!,انا اعملك احلى دونتس!
حاسة حالي كتير مكتئبة,انا هون حدك و اصلا بهل وضع كلنا هيك,حاسس نفسي مكتئب جدا,انا هنا جمبك و اصلا كلنا في الوضع ده كدة
اليوم كنت وقعت عالدرج,ييي منيح ما كنت معك ما كنت خلصت من الضحك,انهردة كنت حقع عالسلم,ياه كويس ماكنتش معاك كنت مت مالضحك
سمعي هل غنية كتير حلوة!,عنجد! معناها بعقد مش معقول,اسمعي الاغنية ديه حلوة جدا!,بجد معناها يجنن مش معقول
جبتلك اسم مسلسل جديد لازم تحضري!,يلا شو ناطرة قوليلي اسمو بسرعة!,جبتلك اسم مسلسل جديد لازم تتفرجي!,يلا مستنيا ايه قوليلي اسمه بسرعة!
لك وينك ما عم نشوفك؟,والله غاطسة بالدرس,فينك ياعم مش بنشوفك؟,ولله غاطسة في المذاكرة
ليش ما رديتي على تلفونك اليوم الصبح؟,كان مطفي,ليه مارديتش على تلفونك انهردة الصبح؟,كان مغلق
شو عبالي سافر!,الله يخلصنا من هل كورونا بقا و انا كمان عبالي,قد ايه نفسي اسافر!,الله يخلصنا من الكورونا ديه وانا كمان نفسي
كتير عبالي اعمل سكاي دايفينغ!,شو مجنونة انتي؟ اشبك شي!,جاي على عبالي اعمل سكاي دافينج!,ايه مجنونة انتي؟ فيكي حاجة!
صرلي زمان ما سبحت,امشي نروح اسبوع الجاي انا فاضية,بقالي زمان ماعمتش,يلا نروح الاسبوع الجاي انا فاضية
لك مش معقول شو اشتقتلك,و انا بالأكتر حبيبي,يا عم مش معقول وحشتني قد ايه,وانا بالأكتر يا حبيبي
حزري مين حكاني اليوم!,لا!! منير ما غيرو؟,فزر مين كلمني انهردة!,لا!! منير مفيش غيره
ما عم اعرف صمّد مصاري,احسن شي جيبي قجة هبكي بتطصيري بتصمدي,مش عارفة احوش فلوس,احسن حاجة جيبي حصالة كدة حتبقي تحوشي
شو فطرتوا,طلبنا مناقيش جريش,فطرتوا ايه,طلبنا مناقيش
شو عاملين اليوم بالسهرة,كالعادة محجورين بالبيت روح انضب,عاملين ايه انهردة في السهرة,كالعادة محجورين في البيت روح اتلم
طمني يا مان عرفت انه اخدت الطعم,ايه يا برو حالتي حالي كتير الو عوارض,طمني يا مان عرفت اني اخدت الطعم,اه يا برو حالتي حالة ليه عوارض
والله يا اختي عم عاني مع ولادي بالتدريس,و مين سمعك كلنا بالهوا سوا ولادي جننوني,والله يا اختي بعاني مع ولادي في التدريس,ومن سامعك كلنا في الهوا سوا ولادي جننوني
جوعاني ؟,لا قبل شوي تغيديت.. شو بدنا ناكل !,جعانه؟,لا من شوية اتغديت.. حناكل ايه!
لك يا زلمي هول ما بنامو,انسى مستحيل متل وطاويط الليل,بص يا عم دول مابيناموش,انسى مستحيل ذي وطاويط الليل
مامااا انا جوعاني,ايه و شو المطلوب! سكرنا المطعم لليوم لبكرا و عليك خير,مامااا انا جعانه,اه و ايه المطلوب! قفلنا المطعم انهردة لحد بكرا و عليكي خير
اسبوع الجايه عيد ميلاد علي بدنا نروح انشاءالله,يعني بعد كم يوم ؟ ايمتى ؟ اي ساعه ؟ شو بدي البس؟ شو بدنا نجيبلو هديه,الاسبوع الجي عيد ميلاد علي عايزين نروح انشاءالله,يعني بعد كام يوم ؟ امتى ؟ انهي ساعة ؟ البس ايه؟ حنجبله ايه هدية
ايمتى عندك مقابله الشغل,بكرا بس قولك شو رح يسالوني,امتى عندك مقابلة الشغل,بكرا بس حقولك حيسالوني ايه
شو هل الشوب ولووو,شايف بعدنا بالشتى و هيك الله يجيرنا,ايه الحر ده,شايف لسة في الشتى وكدة الله ينقذنا
شو رايك نجرب التلفريك هالاسبوع,"لا ما بدي، كتير بخاف من المرتفعات",ايه رايك نجرب التلفريك الاسبوع ده,"لا مش عايز، بخاف من المرتفعات جدا"
حدا بيعرف قدي بعد في وقت ليبلش المسلسل,والله ما عندي فكرة ما معي ساعة,حد يعرف في قد ايه وقت عشان يبدا المسلسل,والله ماعنديش فكرة معيش ساعة
مبارح زرت متحف الشمع لأول مرة بحياتي,"ياعيني، ، كيف لقيت المتحف، عذوقك؟",امبارح زرت متحف الشمع لأول مرة في حياتي,"يا عيني، لقيته عامل اذاي المتحف، على ذوقك؟"
"مرحبا، ممكن نتعرف","اكيد، شو الاسم الكريم","السلام عليكم، ممكن نتعرف","اكيد، ايه اسم الكريم"
"ليش هلقد بتحب الصيد، والله انا بضيق خلقي",الصيد بدو صبر و طولة بال,"ليه بتحب الصيف اوي كدة، والله انا خلقي بيديق",الصيد عايز صبر و طولة بال
"فكرت حالي ضيعتك، وين ختفيتي فجاة",والله التهيت بمحل التياب و راح عن بالي الوقت,"افتكرت نفسي تهت منك، اختفيتي فين فجأة",والله التهيت بمحل الهدوم وراح عن بالي الوقت
"صباح الخير، شو هالنهار الحلو","يا هلا، اسه والله طقس حلو","صباح الخير، ايه النهار الحلو ده","اهلا بيك، لسة والله الجو حلو"
"اهلا، كيف فيي ساعدكن",لو سمحت بدنا نحجز طاولة ل ٢٠ شخص اليوم,"اهلا، ممكن اساعدكم اذاي",لو سمحت عايزين نحجز ترابيذة ل ٢٠ شخص انهردة
والله حاسة كل شي عم يتغير والدني مشقلبة,"صح، و التغيير مش سهل",والله حاسة كل حاجة بتتغير والدنيا متشقلبة,"صح، والتغيير مش سهل"
ما قلتيلي اذا بتحبي شغلك,"كتير، توفقت بشغل حلو و بريح الراس",ماقلتليش لو بتحب شغلك,"جدا، اتوفقت في شغل حلو ويريح الدماغ"
