Response,Utterance
طول بالك بعدو السمستر باوله,"وأخيرا خلص الصف، زهقت حياتي يا زلمي"
مرسي ينعاد عليكن بالصحة و العافية,كل عام و انتو بخير 
بحب انزل عالقهوة و اشرب ارجيلة,ايه و شو بتحب تساوي باوقات فراغك
خيي الزغير هوي و عم يلعب,مين كسر القزاز
هوي انا و يادوب شايف,فيك تقرالي شو مكتوب بليز
لا والله الوضع موتر كتير,كيف كان الاجتماع؟ رواٍق؟
شو رايك نقغد وراورا في محلات,وين بقعد كتير في عجقة
ايه جاهزين يالله,شو جاهزين
ما بحبو كتير,شو رايك باللون هيدا
كيف بدي هدي اصابي!,لي متوتر؟ هدي اعصابك
نص ساعة و بيخلص روق,صرلك ساعة ما كان يخلص الفيلم
اوف حدا بينسى هيك شي,نسيت جيب معي اللابتوب اليوم
ايه كاتبين اشيا مهمة,شو عم تقرا بالمجلة مبين
شو بدنا نعملا بس توصل,عم بقولو الأسبوع الجاي جاي الماما من السفر
ولو نحنا بالخدمة,مرسي كتير عالمساعدة
زهقت عيشتي,كيف كانت الحفلة مبارح
لي في شي ما فاجاني بالجامعة,شو اكتر شي فاجآك بالجامعة
زرت ستي,وين رحت مبارح
اوكي شو بدكن,بدنا غراض للبيت
وانا عبالي قريدس ,عبالي معكرونة بالبشاميل
"انا من لبنان، بس عايش باميركا",من وين انتا؟
عم بحضر تلفزيون,شو عم تعمل
اكيد كيف بقدر ساعدك,بدي قدم على منحة فيك تساعدني
نحنا ما حسينا لان شغلنا الدفاية,مبارح كان كتير برد 
حلو ما اشبو ,شو رايك بالمسلسل الجديد
ريح جسمك و خود بانادول,حاسس حالي بدي امرض
استفرغت مرتين الصبح,وجك مصفر كان شايف شبح
"ايه، عندي شي ٢ قريبين مني كتير",عندك رفقا باميركا
شكلني مهموم كتير ايه,مبين عليك مريض كتير
لا ما بعتقد,كان شايفتك من قبل
ربحت اللوتو اليوم,شكلك مبسوطة كتير شو صاير
خلص الأسبوع الجايي,عم نحكي كتير عالتلفون بس لسا ما شفتك
فتش على شغل,شو رح تعمل بس ترجع من اميركا
بدي كفي دكتورا,شو مشاريعك بعد التخرج
منغدى سوا احلى شي,شو بدك نعمل اليوم
لازم كرمال صحتك,بدي بلش دايت نصحانة
انشالله نبسطو؟,اليوم رحت عالملاهي مع رفقاتي
الحمدالله كبرانين بسلمو عليكي,كيفن الولاد صرلي زمان ما شفتن
يالله بعدلو شهرين و بيخلص,ناطر مناطرة ليخلص السمستر
لا ما في أفلام حلوة,شو رايك نروح عالسينما
طفران و ما معي الف بجيبتي,فيك تديني مصاري لاخر الشهر
يا هلا و انا اشتقتلك,اهلا و سهلا اشتقنالك
ايه شمس و برود,الطقس كتير حلو
اكيد اهلا و سهلا,"مسا الخير، فيي اقعد حدكن"
ما بعرف ما قلنا الدكتور لسا,شو طلع جواب اخر سؤال
بعتذر هلق بوطي,صوت الراديو كتير عالي
بيشتغل بمطعم,شو بيعمل رفيقك بالحياة
في واحد آخر الشارع و كتير آدمي,بتعرفلك شي ميكانيسيان شاطر
تمام والله كل شي ممتاز,كيفك و كيف ايامك
لخلص الجامعة بالاول و كلو منيح,ايمتى بدنا نفرح فيكي و نشوفك عروس
ما قلي خلق و تعبان,ليش ما بتنضف اوضتك
حلينا نضهر لكان نغيرلك جو,اليوم كتير تعبان ومهموم
ايوا الف مبروك,خيي انضم للجيش مبارح
كل شي هالايام ما عم يكون سهل,الجامعة صايرة كتير صعبة و مزعجة
صح شوب و قرف,بكره هالطقس
اليوم الخميس,اليوم شو
تعبانبن شوي و يمكن ما يقدرو يجو بكرا,كيف التيتا و جدو
تروح و ترجع بالسلامة,انا مسافر الأسبوع الجاي
كتاب جديد هدية اجاني,شو عم تقرا 
يالله شوي و بجي,خلصت الترويقة
اووه بس انا ما بحبا,عاملين معكرونة بلحمة عالغدا
ايه بس الجامعة بعد احلا و احلا,المدرسة احلا فترة بحياة الولد
بدي اتعشا عند رودستر,شو مشاريعك بالليل
شو سميتوها؟,اشتريتنا بسية جديدة اليوم
كآن كتير طول و زهقنا,بعد ٦ أسابيع بيخلص السمستر
بحس الفريق الآحمر,مين اولك بيربح اليوم
بسلمو عليك الكل بخير,كيفك حبيبي و كيف الولاد
يالله نص ساعة و بكون عندك,بدي احكيك ضروري
من وين بدنا نجيب قهوة هلق,المكنة منزوعة
متت والله لوصلت لهيدي المرحلة,مبروك ربحت الماراتون
اوكي حبيبي ,بدي الطابة الزرقا
تمام انتا كيفك,صباحو كيف الحلوين
ايه و العشا طيب,كتير انبسطت بالقعدة
اوه منيح زكرتني,اخدت المفاتيح
ايه و انا هيك,ما بحب الأفلام الكوميديا
ايه خصوصي أفلام السيارات,بتحب الاكشن 
ايه سهران عالشغل,مبين تعبان
يالله هلق بمرقلك ياه,فيك تعطيني صحن اللبنة
من السوق,من وين جايب كنزتك
الأسبوع الجاي كلو بيفتح,فتحو المطاعم او لسا
بكير والله,مضطرة انو فل هلق
ايه مش مرتاحين هون,فكرتو تنقلو بيتكن
فينا ناكل برا,شو العشا اليوم
شايف وضع البلد,لسا ما جبت اخبار حلوة
ايه و ازا بالجبل احلا و احلا,بتفضل البيت الزغير ؟
بدي امرق عالماما ارجع كفي عبيروت,كيف طريقك الليوم ؟
لازم ريح جسمي,شو قلك الدكتور
رايح عالاسوأ,كيف وضع البلد ؟
هلقد جوعان,بدي اطلب اكل
وهني بحبوها اكتر,هالمغلمة كتير بتحب تلاميزا
صح الوعي ما بينقاس بالاعمار,العمر مش دليل عالوعي
يسلمو حبيباتي,ماما جبنالك ورد
دخل رواقك,بحي الامحل النضيف و الرايق
بسلم عليك,كيفو الحلو
لو جابو اسهل شو كان صرلو,الامتحان كان كتير صعب
مش كتير,عجبتك الحفلة
ما حبيتو كتير,شو رايك في ؟
مبارح كنت و ما في شي حلو,اليوم ضاهرة عالسوق
صح الغلا ما طبيعي,الناس جانة على هالاسعار الجديدة
وين بتحب نتروق,ممكن نروح نتروق سوا بكرا ؟
تعب كتير ,كيف الشغل ؟
ايه حقك,راسي مش عم يتحمل توتر
طب فوت نام,نعسان كتير
ايوا مش لتخطبي بالاول,انا بدي اعزمك على عرسي
ما تعتل هم,كتير متوتر من امتحان السواقة
ما قدرت و ما في وقت,ليش لسا ما غسلت السيارة ؟
بحب الأزرق و الأحمر,شو اكتر لون بتحبو ؟
موفق حبيبي,عندي امتحان بكرا
ايه شو عم مثل,عنجد انو مريض كتير
ايه ماشي الحال ,كيف الصحة كلو رواق
نازل على الدكانة جيب غرضين و جايي,لوين رايح ؟
ليش شو بدك ؟,يعطيك العافية شو اسم حضرتك ؟
الدرس! عم اشتغل على مشروع التخرج,شو مسهرك لهلق؟ 
الحمدلله. متعب شوي بس تمام ,كيف الصيام معك؟ 
ما بعرف. ليش عم تسأل ؟,ايا ساعة حتفيق بكرا؟
عندي تدريب صيفي,شو حتعمل بس يخلص هالفصل؟
حبيبي عقبال عندك,مبروك التخرج يا باش مهندس! 
ايه عالحجر,مبين نصحان!
حنتجمع كلنا اول شهر اربعة. بتحب تجي؟,فيك تخبرني اكثر عن حفلة الربيع؟
لك برافو عفاك!,قررت وقف تدخين 
لا ما عرفت. مين؟,عرفت مين حيتجوز؟ 
ايه ما في شي مستاهل,ما تخلي ببالك شي وما تعصب
وانت بخير حبيبي,حتصير  نص ليل! كل عام وانت بخير!
شوربة وفتوش ومنسف,شو حتعمل اكل عالأفطار بكرا؟
منقوشة جبنة وسجق,شو تسحرت؟ 
شيل التلفون من ايدك وركز,يا زلمة كتير عم ضيع وقت
محدا محدا,شو مين شاغلك بالك؟
حصلي الفجر ونام ,ايا ساعة حتنام؟
ايه هياني قايم ,ما تنسى تفرشي سنانك قبل ما تنام 
لا بقدر احملن  لحالي شكرا,انتبه كتير تقال. احملن معك؟
لا بعدني تلميذ,انت بتشتغل شي؟
كتير شوب البس عليك الكنزة,طفي المكيف تلج قلبي!
انسى تعبان من الصيام,لازم نروح نمشي بعد الظهر
ليش؟! القعدة ما بتحلا بلاك,انا مش جايي الأحد روحوا بلاي
بشوف وبردلكن خبر,اذا ما بتقدر تجي الأحد منعملها السبت
ايه. حتكون صعبة عليي بس لازم اعملوا,حتسلم الفرض عالوقت؟
حبيبي ما تواخذني ,انا ما بعتب عليك بعتب عالظروف 
جيب ربطة خبز للغدا,ماما انا ضاهر بدك جيب معي شي؟
بابا راح يجيب فروج,شو بدكن تتغدو؟
ليش؟ قلي شو بدي جبلك مش ضروري تروح,بس تروحي تجيبي اللحمة بدك تاخديني معك 
عالساعة سبعة,على ايا ساعة الأفطار 
انسى ما بكون الي خلق اتحرك بعد الأفطار,تروح تلعب فوتبول بعد الأفطار؟
لا مش عم روح لعندو بسبب الكورونا,شو علقان مع الحلاق؟
لا بعد شوي بقوم,صليت؟ 
بعدني مش نايم ,ليش شكلك تعبان؟
يلا قمت قمت,يلا فيق بدي ابعتك عالمصبغة 
يمكن عمو ينزل,مين حينزل يجيب بيّك من المطار؟
يلا بس لألبس عليي,يلا قوم حضر حالك  لنروح نكزد شوي
عم ادرس مضغوط,ليش حابس حالك بل الغرفة؟ 
لا ما بدي. بدي اكلها مسلوقة ,بدك تاكل بطاطا مقليّة؟
بالبيت. ما الي نفس شوف حدا,وين بدك تحضر الماتش اليوم؟
مش معصب حل عني,ليش معصب؟
لا ما شفتا,شفتيلي وين حطيت علبة الدوا؟
حاضر. جبلك معي شي؟,سوق على مهلك وما تتأخر
مش عم طلع صوت,بدي نام معش اطلع صوت 
ايه مش غلط,انا عم فكر ابقى انا و ياك سهرانين للصبح
لا ابدا مش عم يكون عندي وقت,عم تحكي حدا من اصحابك؟
يسعدلي هالصباح يا قمر.,صباح الخير يا حلو
الحمدلله بسلم عليك,شو كيفك شو اخبارك؟ كيفو بيّك؟
حبيبي انشالله ,خلي قلبك قوي وما تخلي شي يهزمك 
هون بالضيعة عم اعمل رياضة,لوين رحت ؟
عندي خمسة ,كم امتحان عندك؟
بعد اسبوعين,ايمتى بتخلص جامعة؟
ليش بدي سكرو؟,سكر هيدا الباب
حلو  اتسليت ,شو كيف كان درس الخياطة اليوم؟
ايه لازم,لازم نروح بكرا نسلم على جدو
حوالي الأربعين ,كم وحدة بعد عندك؟
ما في شي,شو في ما في؟
ما شي. منّا ننطر الفرج,شو مفروض نعمل هلأ؟
ايه بس متوتر شوي ,شو جاهز للسفر؟
ماشي يلا انا جاهز,خلينا ننزل عالبستان انقطف ليمون
هون أول الطريق في بنشرجي,وين منا نزبط دولاب السيارة؟
بعد شي ساعة,ايا ساعة بدك تتحمم؟
ليش انا شو عاملك؟,مش طايقك 
احترمي حالك ,شو هالتفكير الي عليك! بقرف! 
ما الي خلق ,تعى اسقي الزريعات 
الدولة. اجت عالساعة ستة,هيدي كهربا الدولة او الأشتراك 
مش جاي عبالي,يلا تعى عالأكل
كلن بعد اسبوعين ومنخلص ,تعبان من كل شي وما الي خلق عشي 
قوم مين مانعك ,نعسان بدي نام 
نسيت قلو يشرحها,قلتلك بدي المنقوشة مشروحة ليه جايبها هيك؟
عمال معروف بدي وصي عمناقيش للسحور,"الو, تفضل كيف فيي اخدمك؟"
"مش عم ابكي, عيوني مدمعين من البصل",ليش عم تبكي؟ 
صح لازم نروح نزورن,لازم تروح تزور بيت جدك 
عم فيق شوي مأخر. ليش؟,ايا ساعة عم تفيق؟
لا ما خلصت بس اخد استراحة ,خلصت شغل؟
صح معك حق,ما بيسوى اتضلك تشتغل هيك لازم ترتاح
مني متضايق ابدا,ليش متضايق شو في؟
بدي فروج وفتوش,شو بدي اسكبلك بصحنك؟
ايه حاضر,تعملي فنجان نسكافيه؟
منيح ماشي حالوا ,كيفو بيك؟
نهار الأربعا بجيب من عند اللحام وبعملك,جاي عبالي اكل بفتيك 
ايه اكيد,بتقدر تنشرلي الغسيل؟
ايه حطيتو و سكرت عليهن,حطيت الأكل للدجاج؟
ايه سقيتن,سقيت الزريعات؟
جيب فواكه مشكلة ,شو بدي جبلك من عند الخضرجي؟
عمري تنين وعشرين سنة,اديه عمرك؟
ليش عم تسأل؟ ,انت من وين؟
والله مش عارف بعد,شو مشاريعك بعد التخرج؟
وليش ما بلشت؟,كنت ناوي اليوم بلش درس
ما بعرف,شو عاملين دبيحة عالعيد؟
حبيبي شكرا ,نشاالله بتقدم و بتنقبل 
لا ما شفتو. ايمتى ضيعتو؟,ليك شفتيلي التليفون شي؟
هياه حدك,ناولني كيس المحارم
تكرمي عشر دقايق بكونو جاهزين,بدي تنين كيلو ريش غنم وكيلو شقف للشوي
ليش شو في؟,يلا قوم صارت الساعة سبعة
بس تيجي الكهرباء,حميلي الأزان بدي اتحمم
حاضر,حط الكمامة قبل ما تفوت 
انشالله  بتهون,والله البلد كلو غلا بغلا تعبت
جاهزين. حطيتن بالسلة لي حد الحمام,جهز تيابك الوسخين بدي دور الغسالة 
اكيد هلأ ابمسح معك غبرة,تساعدني بتنضيف البيت؟
ايه بروح يلا,تروح تجيب بوظة؟
عاليتها زمان وبلشت تغلي,عالي الركوة عالنار لنعمل قهوة
في شاي اخضر؟,تشرب شاي او قهوة؟
اسبوع بالكثير,كم يوم بعد عندك؟
عطيني قلم,فيك تمضي هون؟
ايه وكلو عشي فاضي,ليش هيدا شايف حالو؟
اليوم عشرة الشهر,اديه اليوم في بالشهر؟
بخمسة الشهر,ايمتى حتقبض معاشك؟
رايق رايق مش قلقان,ليش بتضلك قلقان روق
بدي كمل درس ,شو بدك تعمل بعد الأفطار؟
ولاد الجيران ,مين اجا لعنا؟
يلا ماشي,دور السيارة وحميها عبين ما اضهر
جرب بعد مرة ,معش زبطت معي ابدا
ما عندي وقت والله ,شو رأيك نروح نسهر عندك؟
وانت من اهل الخير,تصبح على خير
مش عم تابع شي,شو عم اتابع مسلسلات 
شو بدك ياني قول؟,ليش ساكت؟
ايه وصرنا خالصين كمان ,شو بلشتو شغل بالورشة؟
ليش صاير معك شي؟ ,لك تعبان وما الي خلق على شي
التلفون مش حدي,عم اتصل فيك ليش مش عم ترد؟
حبلش بخمسة الشهر ,شو ايمتى حتبلش شغل؟ 
لشو بدك ياهن؟,معك ورقة وقلم؟
يلا حاضر لح دورلك يا,دور هالتلفزيون لنحضر اخبار
مناقيش عالصاج,شو عاملين عشا؟ 
مش بإيدي الوضع صعب,ليش بتضلك متشائم؟
بالفان او مشي,كيف حترجع عالبيت؟ 
عشرين كيلو بس,كم كيلو مسموح تحمل معك؟
بعيد الشرّ ما بدي هلق,شو ايمتى منّا نفرح فيك؟
ماشي لح جبيها,جيب الكاميرا معك لنتصور
ما بعرف مش انا,مين ضرب السيارة؟ 
اكيد الحمدلله ,شو صايم اليوم؟
صرنا زمان ما سقينا. اليوم حاسقيه,ليش الورد دبلان؟
عفوا انا متوتر شوي.,ليش عم تحكي معي بهل نبرة؟ وطي صوتك
سلامة قلبك. خود حبة دوا ,راسي عم يوجعني وعليي شوية حرارة 
عم فكر فيك,بشو عم تفكر؟
تحت حد البحر,وين صفيت السيارة؟ 
ايه بروح ما عندي مشكل,تروح نسبح الأحد؟
عندي اجتماع عالساعة اربعة ما بقدر,تروح نكزدر عالكورنيش؟ 
لا مش مدفوعة,ايام الأضراب مدفوعة؟ 
اكيد حبيبي تكرم عيونك,الله يخليك تكويلي القميص؟ 
حلو مبروك! لح تسير غني يعني ؟,حيعطونا زودة عالمعاش كرمال العيد! 
ايه في مطارح احسن بكتير,مش ضروري نقعد هون على كل حال
هياها الساعة معك ليش ما بتشوفا؟,اديه الساعة؟ 
لا انا مش تبع هالشغلات ,تروح عالمظاهرة؟ 
سندويشات فلافل و شاورما,شو الغدا اليوم؟ جوعان كتير
ما الي نفس شوف حدا,لازم تصير تضهر تشوف عالم
ماشي حجرب اجي بس ما فيني اوعدك,الليلة حضرتك معزوم عسهرة
لوين بدنا نروح؟  عبالي اطلع عالجبل,اوم روح غير هالتياب خلينا نضهر  نغيّر جوّ شوي 
وانت شو خصّك؟ بجي محل ما بدي,فيي افهم شو جابك لهون؟
السبت بالليل وعد خلص,ايمتى بدك تدفع الحساب؟
أنا بشتغل بالبنك من شي سنتين,أنا تلميذ بالجامعة و أنت ؟
ايه عنجد كتير حلوة عجبتني,حلوة هالحفلة كتير
شكرا كلك زوق  يا حلو,ينعاد عليك عقبال المية يا رب
بعد مل قررت ما في شي معيين ببالي,في عطلة بعد يومين شو مقرر تعمل ؟
معك حق فطست كتير,يا زلمي شو شوب اليوم
مين ضد مين ؟ اكيد عندي وقت ,عندمك وقت الليلة ؟ في ماتش فوتبول قوي
اي نوم يا زلمي عم حضر بحث لمؤتمر بعد يومين التسليم,ما كنت متخيل شوفك بهالوقت قلت بتكون نايم
الي من الصبح عم بشتغل كتير تعبت,ليه هيك شكلك شو صاير معك ؟
مبروك يعطيك العافية كيف عملت بالإمتحانات ؟,و اخيرا خلص الفصل و صار فيني ارتاح
لأ ما فيك مل بحب عير غراضي لحدا,فيي استعير منك قلم لو سمحت ؟
يا لطيف شو هوي هالسؤال ؟,عندي سؤال كتير قوي لإلك
شو في شو صاير معك ؟,كتير معصب أنا اليوم 
ما عم بحضر شي والله ما معي كتير وقت,شو عم تحضر مسلسلات ؟
في فلم نسيت شو اسمو عن واحد بيعلق على جزيرة بنص البحر,شو أكتر فلم بتحبو ؟
طبعا هيدي لغتي الأم مش بس بحبها بعشقا,بتحب اللغة العربية ؟
معق حق شي بخوف فعلا و الله لا يعيد هيك نهار,صرت خاف عيش بهالبلد من بعد انفجار المرفأ
تقرير شو ؟ ايمتا لازم تسلمو ؟,الي ثلاث ساعات بكتب بالتقرير قرفت
مكسور ما عم يمشي صرلو من مبارح,شو صار للكومبيوتر تبعك ؟
ما حبيتو بالمرة كلو طق حنك بلا عازي,شو رأيك بالبرنامج الجديد عالتلفزيون ؟
شكرا شو رأيك فيها لابقتلي ؟,عجبتني كتير بلوزتك الجديدة!
لأ هيدا بياخدك على الجبل ما تطلع في,هيدا الباص بوديني على البلد ؟
أكيد شاي القهوة ما بحبا بالمرة بحسا مقرفة,بتحب تشرب شاي او قهوة ؟
ما ايلي خلق هلق بعدين بنضفا,شو ليه ما نضفت الأوضة ؟
ليه من شو ؟ و ليش ما بتنقل على محل تاني ؟,هالبلدة كلها مشاكل ما بتخلص
ايه بحبك و كتير ما فيني عيش من دونك,بتحبني عنجد او عم تمزح معي ؟
عنجد ؟ شو الحلو في يعني ؟ لو قادر اجي كنت جيت,راح عليك فيلم كتير حلو! قلتلك تعا بس ما بترد
إذا بدك نصيحتي فوت هندسة كومبيوتر كتير مهمة هالأيام,بدي سجل بالجامعة بس ما عارف اي اختصاص شو رأيك ؟
أكيد ولو معقول مل نجي على عيدو للحلو ؟,انبسطت كتير لأنكجيت على عيدي عنجد شكرا 
طبعا مهم بتتعلم أكتر عن الإنسان و من شو مكون,برأيك مهم اخد صف عن علم الأحياء ؟
شو عرفك يا زلمي ما قلت لحدا أنا,شو رحت على موعد غرامي مبارح بالليل ؟
ليه عزبا حالك يا عيب الشوم اكير لح تعجبني,جبتلك هدية انشالله تعجبك
المفروض بعد كم يوم مش مطول كتير,عندك فكرة ايمتا ببلش العيد ؟
بس ما تتكل عليه خليك عم تحط كمامة,شكلو عملو لقاح فعال لفيروس كورونا
ليش ما قايللي من قبل ؟ كنا حضرناهن سوا,كتير بحب احضر سبق السيارات
لأ لما وصلت كان الشعب اكل البيتزا كلها و ما خلا شي,اكلت بيتزا او لأ ؟ جلبوهوم من شوي
ليش شو في ؟ بسيطة فينا نجتمع نهار تاني,مرحبا استاذ. بدي اعتزر منك و الغي موعدنا اليوم
أنا مبارح فولت السيارتين سمعت بدو ينقطع البنزين,عم بقرا الجريدة اليوم عم يغلا البنزين
صحيح فتحت شركة بتصنع الكترونيات,قالولي فتحت شركة جديدة مبروك!
ليش يخسرو ؟ لازم يربحو اليوم ضروري,بتمنى يخسر الفريق اليوم
مين هول رفقاتك ما مخبرني عنون,لح يتجوزوا رفقاتي اليوم كتير مبسوط!
ايه كتير بتسللي بنطر الشتوية لأحضرها,بتحب الرياضات الشتوية ؟
شكرا الك. امي عملت الديكور كلو,كتير حلو بيتك !
كاميرا جديدة جبتلك ياها هدية,شو مخبا بتيابك شو في ؟
شو عم تفكر تساوي ؟ اشتريتلها شي ؟,بدي اعمل مفاجأة لمرتي اليوم 
برأي روح اشتري وحدة متلا بلا ما تنتبه,انكسرت معي مراية اختي شو بدي اعمل ؟
اوف قدي لح يربحوك ؟ من ايمتا بتشارك باللوتو ؟,ربحت اللوتو لح سير غني !
لأ بدي شوف بطاقتك اول شي,فيي فوت من بعد اذنك ؟
يلا قربت بس الكل ياخد اللقاح,ايمتا لح يخلص كورونا و نرجع طبيعي
ايه كتير مسمر ما عرفتك اول شي,كتير اخدت لون من مشوار البحر 
نيالك يا زلمي أتنا بعدني ما خلصت,و اخيرا خلصوا الإمتحانات!
ايه والله الشغل حلو و كل الناس لطيفين معي الحمدلله,شو شكلك مبسوط بالشغل الجديد
